Date;Close;High;Low;Open;Volume
14/12/2022;17.659.528.732.299.800;18.237.056.501.037.200;17.405.736.991.187.200;1.797.227.218.085.040;496888000
15/12/2022;16.938.119.888.305.600;17.305.818.611.715.300;16.686.327.315.889.200;1.713.196.129.101.240;478542000
16/12/2022;16.557.430.267.333.900;1.702.704.663.560.610;1.639.656.280.074.960;16.850.191.523.278.600;478232000
19/12/2022;16.240.694.046.020.500;16.595.402.982.576.000;16.131.784.021.427.200;1.655.843.452.129.090;354039000
20/12/2022;1.607.183.265.686.030;16.296.648.863.545.800;15.839.024.530.853.500;1.605.084.993.795.550;403260000
21/12/2022;16.487.489.700.317.300;16.613.387.898.119.900;1.608.881.620.314.780;16.100.807.415.218.000;325025000
22/12/2022;15.326.441.764.831.500;1.612.478.836.587.800;14.869.816.130.143.400;1.608.082.376.342.010;565045000
23/12/2022;15.193.551.063.537.500;1.532.644.159.609.820;14.870.815.551.756.700;15.183.559.021.916.800;349326000
27/12/2022;14.109.439.849.853.500;15.087.638.463.348.800;14.044.492.529.786.500;15.061.659.725.900.800;464902000
28/12/2022;14.024.508.476.257.300;1.425.032.327.426.340;13.872.632.497.198.400;13.915.597.512.631.500;351066000
29/12/2022;14.591.043.472.290.000;14.670.977.896.009.700;14.215.351.871.386.100;14.390.208.780.608.000;354923000
30/12/2022;14.602.034.568.786.600;14.617.021.677.131.600;14.221.346.008.211.800;14.322.263.143.028.200;310490000
03/01/2023;14.303.278.923.034.600;14.983.722.051.275.600;14.084.458.370.348.000;14.838.840.315.183.700;401277000
04/01/2023;1.473.692.512.512.200;14.840.840.075.575.400;1.422.934.158.563.880;14.555.074.914.722.100;431324000
05/01/2023;14.253.320.693.969.700;14.552.075.670.491.900;14.136.415.909.839.400;14.479.135.485.903.600;389168000
06/01/2023;14.846.834.182.739.200;14.997.710.572.155.100;14.022.509.854.107.000;14.462.149.178.413.000;405044000
09/01/2023;15.615.203.857.421.800;16.042.852.902.543.700;1.512.860.215.409.780;15.271.485.666.138.800;504231000
10/01/2023;15.895.975.112.915.000;1.594.893.121.673.770;15.459.332.626.456.000;15.494.303.818.205.700;384101000
11/01/2023;15.987.898.826.599.100;1.601.487.714.757.310;15.550.257.708.216.100;15.827.031.344.724.500;353285000
12/01/2023;16.497.480.392.456.000;16.623.376.674.174.500;15.479.314.701.266.600;1.608.681.762.259.120;551409000
13/01/2023;16.885.164.260.864.200;16.908.146.146.393.500;1.615.176.596.394.340;16.264.672.409.444.300;447287000
17/01/2023;17.687.509.536.743.100;17.713.489.229.977.500;16.885.167.342.585.600;16.885.167.342.585.600;511102000
18/01/2023;1.736.277.198.791.500;17.858.364.231.807.200;1.726.784.855.712.280;17.652.533.536.018.400;439624000
19/01/2023;16.751.272.201.538.000;17.182.919.592.747.300;16.717.301.550.134.700;17.022.050.215.153.400;452932000
20/01/2023;1.782.439.613.342.280;1.784.138.241.393.560;16.811.226.343.623.600;16.997.072.985.244.900;564967000
23/01/2023;1.917.728.614.807.120;1.922.924.361.779.150;17.803.411.956.257.100;18.049.208.922.830.700;655163000
24/01/2023;1.924.922.752.380.370;1.947.904.067.584.790;1.880.459.214.124.050;18.811.586.379.989.300;496204000
25/01/2023;19.307.178.497.314.400;19.354.140.898.523.600;1.856.478.682.693.730;18.897.514.353.205.800;449537000
26/01/2023;1.978.578.758.239.740;20.149.489.885.366.500;1.926.221.642.846.410;19.684.870.441.693.300;489535000
27/01/2023;20.348.325.729.370.100;2.061.111.088.344.210;19.389.112.653.490.200;1.944.606.519.137.810;542142000
30/01/2023;19.146.310.806.274.400;2.012.350.875.424.220;1.913.431.959.512.860;19.933.665.698.445.600;488611000
31/01/2023;1.952.100.372.314.450;1.967.088.052.170.420;1.893.448.446.657.560;19.154.303.644.077.400;498017000
01/02/2023;20.925.853.729.248.000;21.174.648.503.788.000;19.594.943.571.300.600;19.674.877.995.136.700;660477000
02/02/2023;21.691.225.051.879.800;21.931.028.319.443.600;20.683.052.314.586.800;20.982.805.922.594.800;564276000
03/02/2023;2.108.272.361.755.370;21.727.195.946.386.900;20.771.977.442.286.000;2.098.280.511.679.250;429366000
06/02/2023;21.071.733.474.731.400;21.552.338.635.862.000;20.768.980.162.055.600;20.788.964.243.868.000;452197000
07/02/2023;2.215.484.619.140.620;22.240.776.221.047.800;2.113.268.305.609.240;21.364.493.456.754.500;664150000
08/02/2023;22.186.819.076.538.000;22.859.268.377.946.800;21.989.979.871.627.100;2.236.866.926.710.400;559651000
09/02/2023;2.231.871.223.449.700;2.300.115.361.559.770;22.101.890.841.134.400;22.587.493.006.154.800;523876000
10/02/2023;21.247.589.111.328.100;22.059.923.209.964.100;2.079.396.224.758.760;21.672.242.294.842.700;550737000
13/02/2023;2.177.016.258.239.740;22.029.949.952.806.300;2.094.483.860.334.860;21.520.367.253.825.800;474919000
14/02/2023;22.952.192.306.518.500;2.303.012.755.681.970;21.348.505.011.824.300;2.156.033.132.218.110;675474000
15/02/2023;22.745.363.235.473.600;228.362.883.381.025;22.087.902.895.293.100;22.530.539.101.779.800;420575000
16/02/2023;21.983.983.993.530.200;2.253.153.368.148.580;21.909.044.646.590.900;22.114.875.333.928.500;412026000
17/02/2023;2.137.049.102.783.200;21.722.202.143.594.800;20.957.829.026.914.900;21.613.292.124.399.400;465888000
21/02/2023;20.638.086.318.969.700;21.476.398.057.915.600;20.601.115.962.656.900;20.982.803.112.593.400;410015000
22/02/2023;2.073.700.714.111.320;21.086.720.955.863.100;20.404.279.605.625.400;20.690.046.644.389.800;513184000
23/02/2023;23.644.620.895.385.700;23.868.438.389.794.600;230.061.442.392.191;2.342.080.530.676.350;1117995000
24/02/2023;23.266.935.348.510.700;23.454.783.066.670.700;22.928.214.087.929.200;23.205.986.370.917.000;589716000
27/02/2023;2.348.175.811.767.570;2.386.044.752.352.480;2.343.479.762.020.700;2.365.062.037.481.700;452994000
28/02/2023;23.196.992.874.145.500;2.380.549.545.006.610;2.318.700.083.236.070;2.335.286.529.557.150;455963000
01/03/2023;2.267.941.665.649.410;23.236.960.375.063.200;22.489.571.679.600.100;23.173.011.690.631.400;460026000
02/03/2023;2.329.490.852.355.950;2.336.085.446.425.780;2.241.363.077.915.590;22.469.586.585.439.900;389415000
03/03/2023;23.870.439.529.418.900;2.388.043.157.064.550;23.111.061.548.282.200;23.300.906.520.013.100;412393000
06/03/2023;23.534.713.745.117.100;24.228.143.803.852.700;23.467.767.266.153.600;23.871.437.687.148.100;437429000
07/03/2023;2.327.288.818.359.370;24.109.344.935.333.300;2.322.591.779.814.430;2.358.468.599.671.920;515154000
08/03/2023;24.165.306.091.308.500;24.184.294.766.581.200;23.408.797.420.933.100;23.471.756.258.943.300;513573000
09/03/2023;2.342.078.971.862.790;2.443.812.863.634.960;23.367.822.715.310.300;2.415.930.848.577.090;501257000
10/03/2023;2.295.009.994.506.830;2.361.167.108.031.280;2.271.125.469.340.570;2.339.381.211.188.550;474866000
13/03/2023;22.951.099.395.751.900;2.328.288.472.802.160;22.282.534.719.983.600;2.273.723.944.237.460;421890000
14/03/2023;24.047.382.354.736.300;2.420.328.124.483.990;23.444.773.073.406.300;2.348.075.091.334.450;474910000
15/03/2023;24.212.276.458.740.200;2.427.023.747.433.620;23.344.839.767.755.700;2.374.557.858.510.260;524486000
16/03/2023;25.524.423.599.243.100;2.557.139.207.335.740;23.878.491.278.999.000;2.401.140.628.522.710;583253000
17/03/2023;25.708.303.451.538.000;26.381.865.775.250.600;2.565.133.933.448.180;25.965.136.614.007.100;848547000
20/03/2023;25.883.188.247.680.600;26.007.108.309.767.300;25.113.687.587.733.200;2.559.837.339.016.030;432747000
