days,date,Jam,Deposit,Coin,Transaksi,Jumlah,Buy,Sell,Penarikan
Sabtu,3,5,500.000,mtc,442,916,100.000,143,500.000
Kamis,12,1,500.000,bnb,420,182,1.555.345.355,158,100.000
Kamis,13,1,50.000,btc,423,325,2.000.000,248,2.000.000
Sabtu,15,1,100.000,btc,337,671,2.000.000,412,2.000.000
Sabtu,14,2,100.000,bnb,505,39,100.000,199,100.000
Rabu,18,5,100.000,bnb,313,982,2.000.000,157,100.000
Jumat,14,9,100.000,btc,477,402,2.000.000,276,500.000
Jumat,23,11,100.000,mtc,318,301,2.000.000,462,2.000.000
Selasa,24,2,50.000,bnb,486,66,100.000,293,500.000
Sabtu,23,11,500.000,mtc,416,234,100.000,120,100.000
Senin,10,10,50.000,mtc,334,213,1.555.345.355,127,2.000.000
Sabtu,9,6,50.000,bnb,508,685,100.000,492,500.000
Minggu,17,0,50.000,bnb,583,289,1.555.345.355,280,100.000
Senin,13,5,50.000,btc,497,84,100.000,213,2.000.000
Sabtu,17,3,100.000,btc,384,167,2.000.000,101,500.000
Selasa,29,0,50.000,bnb,310,387,2.000.000,415,2.000.000
Jumat,22,5,100.000,bnb,562,270,2.000.000,360,2.000.000
Selasa,26,5,50.000,btc,343,79,100.000,471,500.000
Minggu,29,3,50.000,mtc,485,628,1.555.345.355,408,500.000
Minggu,22,0,50.000,btc,474,920,2.000.000,306,2.000.000
Rabu,10,10,100.000,mtc,479,170,2.000.000,232,2.000.000
Kamis,23,2,50.000,btc,462,27,100.000,173,100.000
Sabtu,27,9,100.000,btc,500,698,100.000,391,100.000
Rabu,28,11,50.000,btc,549,138,1.555.345.355,329,500.000
Sabtu,30,8,50.000,mtc,412,52,2.000.000,465,100.000
Rabu,17,1,100.000,bnb,579,753,1.555.345.355,194,500.000
Selasa,8,9,50.000,bnb,442,123,1.555.345.355,210,500.000
Rabu,13,0,500.000,bnb,540,772,2.000.000,320,500.000
Selasa,28,5,500.000,bnb,510,271,100.000,319,2.000.000
